nameOfIssuer,cusip,value,shares,sshPrnamtType,putCall,investmentDiscretion,otherManager,soleVotingAuthority,sharedVotingAuthority,noneVotingAuthority,ownedBy,ownedByName
AAC HLDGS INC,000307108,4,533,SH,,DFND,2,533,0,0,1000275,ROYAL  BANK  OF  CANAD
AAC HLDGS INC,000307108,19,2688,SH,,DFND,3,2688,0,0,1000275,ROYAL  BANK  OF  CANAD
AAC HLDGS INC,000307108,0,23,SH,,DFND,5,23,0,0,1000275,ROYAL  BANK  OF  CANAD
AAC HLDGS INC,000307108,4,512,SH,,DFND,15,512,0,0,1000275,ROYAL  BANK  OF  CANAD
AAON INC,000360206,74,2246,SH,,DFND,2,2246,0,0,1000275,ROYAL  BANK  OF  CANAD
AAON INC,000360206,322,9749,SH,,DFND,3,9281,0,468,1000275,ROYAL  BANK  OF  CANAD
AAON INC,000360206,0,2,SH,,DFND,5,2,0,0,1000275,ROYAL  BANK  OF  CANAD
AAR CORP,000361105,75,2277,SH,,DFND,2,2277,0,0,1000275,ROYAL  BANK  OF  CANAD
AAR CORP,000361105,0,3,SH,,DFND,5,3,0,0,1000275,ROYAL  BANK  OF  CANAD
ABB LTD,000375204,889,42188,SH,,DFND,3,38880,0,3308,1000275,ROYAL  BANK  OF  CANAD
ABB LTD,000375204,23657,1122774,SH,,DFND,5,1122774,0,0,1000275,ROYAL  BANK  OF  CANAD
ABB LTD,000375204,99,4675,SH,,DFND,7,0,4675,0,1000275,ROYAL  BANK  OF  CANAD
ABB LTD,000375204,1093,51866,SH,,DFND,8,51866,0,0,1000275,ROYAL  BANK  OF  CANAD
ABB LTD,000375204,17,793,SH,,DFND,15,793,0,0,1000275,ROYAL  BANK  OF  CANAD
ABB LTD,000375204,17,798,SH,,DFND,21,798,0,0,1000275,ROYAL  BANK  OF  CANAD
ABB LTD,000375204,16,750,SH,,DFND,24,0,0,750,1000275,ROYAL  BANK  OF  CANAD
ABB LTD,000375204,0,7,SH,,SOLE,,7,0,0,1000275,ROYAL  BANK  OF  CANAD
ACNB CORP,000868109,6,207,SH,,DFND,2,207,0,0,1000275,ROYAL  BANK  OF  CANAD
ACNB CORP,000868109,33,1051,SH,,DFND,3,1051,0,0,1000275,ROYAL  BANK  OF  CANAD
ACNB CORP,000868109,48,1543,SH,,DFND,21,1543,0,0,1000275,ROYAL  BANK  OF  CANAD
ABM INDS INC,000957100,146,3587,SH,,DFND,2,3587,0,0,1000275,ROYAL  BANK  OF  CANAD
ABM INDS INC,000957100,235,5750,SH,,DFND,3,5750,0,0,1000275,ROYAL  BANK  OF  CANAD
ABM INDS INC,000957100,0,3,SH,,DFND,5,3,0,0,1000275,ROYAL  BANK  OF  CANAD
AEP INDS INC,001031103,41,356,SH,,DFND,2,356,0,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,6013,86400,SH,Put,DFND,3,86400,0,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,18226,261873,SH,,DFND,1,261873,0,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,718,10318,SH,,DFND,2,10318,0,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,8870,127449,SH,,DFND,3,121473,0,5976,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,22557,324096,SH,,DFND,5,324096,0,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,826,11869,SH,,DFND,8,7969,3900,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,314,4516,SH,,DFND,15,4516,0,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,127,1819,SH,,DFND,19,1819,0,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,39,558,SH,,OTR,19,0,0,558,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,612,8799,SH,,DFND,21,8089,0,710,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,84,1200,SH,,DFND,23,1200,0,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,97,1398,SH,,DFND,24,0,0,1398,1000275,ROYAL  BANK  OF  CANAD
AGCO CORP,001084102,5034,87000,SH,,DFND,1,87000,0,0,1000275,ROYAL  BANK  OF  CANAD
AGCO CORP,001084102,205,3543,SH,,DFND,2,3543,0,0,1000275,ROYAL  BANK  OF  CANAD
AGCO CORP,001084102,3089,53392,SH,,DFND,3,41343,0,12049,1000275,ROYAL  BANK  OF  CANAD
AGCO CORP,001084102,35,600,SH,,DFND,5,600,0,0,1000275,ROYAL  BANK  OF  CANAD
AGCO CORP,001084102,17,288,SH,,DFND,15,288,0,0,1000275,ROYAL  BANK  OF  CANAD
AGCO CORP,001084102,965,16679,SH,,DFND,19,16679,0,0,1000275,ROYAL  BANK  OF  CANAD
AGCO CORP,001084102,69,1191,SH,,OTR,19,1191,0,0,1000275,ROYAL  BANK  OF  CANAD
AGCO CORP,001084102,0,8,SH,,DFND,21,8,0,0,1000275,ROYAL  BANK  OF  CANAD
AG MTG INVT TR INC,001228105,28,1636,SH,,DFND,2,1636,0,0,1000275,ROYAL  BANK  OF  CANAD
AG MTG INVT TR INC,001228105,74,4308,SH,,DFND,3,4308,0,0,1000275,ROYAL  BANK  OF  CANAD
AG MTG INVT TR INC,001228105,577,33720,SH,,DFND,4,0,33720,0,1000275,ROYAL  BANK  OF  CANAD
AG MTG INVT TR INC,001228105,321,18750,SH,,DFND,7,0,18750,0,1000275,ROYAL  BANK  OF  CANAD
A H BELO CORP,001282102,0,77,SH,,DFND,3,77,0,0,1000275,ROYAL  BANK  OF  CANAD
A H BELO CORP,001282102,83,13100,SH,,DFND,4,0,13100,0,1000275,ROYAL  BANK  OF  CANAD
AK STL HLDG CORP,001547108,217,21284,SH,,DFND,2,21284,0,0,1000275,ROYAL  BANK  OF  CANAD
AK STL HLDG CORP,001547108,3767,368984,SH,,DFND,3,362015,0,6969,1000275,ROYAL  BANK  OF  CANAD
AK STL HLDG CORP,001547108,46,4472,SH,,DFND,5,4472,0,0,1000275,ROYAL  BANK  OF  CANAD
AK STL HLDG CORP,001547108,4,432,SH,,DFND,11,432,0,0,1000275,ROYAL  BANK  OF  CANAD
ALJ REGIONAL HLDGS INC,001627108,6,1280,SH,,DFND,2,1280,0,0,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,95,2482,SH,,DFND,2,2482,0,0,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,42,1085,SH,,DFND,3,1020,0,65,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,8,200,SH,,DFND,8,200,0,0,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,2,40,SH,,DFND,15,40,0,0,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,2,63,SH,,DFND,21,63,0,0,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,5023,130634,SH,,DFND,23,123989,0,6645,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,658,17122,SH,,OTR,23,0,0,17122,1000275,ROYAL  BANK  OF  CANAD
