nameOfIssuer,cusip,value,shares,sshPrnamtType,putCall,investmentDiscretion,otherManager,soleVotingAuthority,sharedVotingAuthority,noneVotingAuthority
ACADIA Pharmaceuticals Inc.,004225108,567,22670,SH,,SOLE,0,0,0,0
AbbVie Inc.,00287Y109,1759,33305,SH,,SOLE,0,9735,0,0
Abbott Laboratories,002824100,1540,40185,SH,,SOLE,0,11755,0,0
AcelRx Pharmaceuticals,00444T100,497,43925,SH,,SOLE,0,0,0,0
Actavis Inc.,00507K103,6,35,SH,,SOLE,0,0,0,0
Adobe Systems Inc.,00724F101,1717,28675,SH,,SOLE,0,8370,0,0
Aegerion Pharmaceuticals Inc.,00767E102,272,3840,SH,,SOLE,0,0,0,0
Affiliated Managers Group Inc,008252108,1130,5210,SH,,SOLE,0,1520,0,0
Alaska AirLines,011659109,3,45,SH,,SOLE,0,0,0,0
Alexion Pharmaceuticals,015351109,5,40,SH,,SOLE,0,0,0,0
Alexza Pharmaceuticals Inc.,015384209,673,142180,SH,,SOLE,0,0,0,0
Align Technology Inc.,016255101,657,11505,SH,,SOLE,0,0,0,0
Alnylam Pharmaceuticals Inc.,02043Q107,1007,15655,SH,,SOLE,0,0,0,0
Altera Corporation,021441100,4,110,SH,,SOLE,0,0,0,0
AmREIT Inc.,03216B208,892,53100,SH,,SOLE,0,0,0,0
Amazon.com Inc.,023135106,3095,7760,SH,,SOLE,0,2270,0,0
American Express,025816109,1566,17256,SH,,SOLE,0,5021,0,0
Ametek Inc.,031100100,4,82,SH,,SOLE,0,0,0,0
Amgen Inc,031162100,1955,17140,SH,,SOLE,0,5010,0,0
Analog Devices,032654105,1820,35735,SH,,SOLE,0,10420,0,0
Aon Plc,G0408V102,4,45,SH,,SOLE,0,0,0,0
Apple Inc.,037833100,6575,11719,SH,,SOLE,0,3354,0,0
Applied Optoelectronics Inc.,03823U102,802,53435,SH,,SOLE,0,0,0,0
Arthrocare Corp,043136100,676,16810,SH,,SOLE,0,0,0,0
Aspen Technology Inc.,045327103,1021,24420,SH,,SOLE,0,0,0,0
Auto Zone,053332102,7,15,SH,,SOLE,0,0,0,0
AutoNation Inc.,05329W102,842,16945,SH,,SOLE,0,4950,0,0
Autodesk Inc.,052769106,1449,28800,SH,,SOLE,0,8410,0,0
Avanir Pharmaceuticals,05348P401,180,53570,SH,,SOLE,0,0,0,0
Bed Bath & Beyond,075896100,4,45,SH,,SOLE,0,0,0,0
Best Buy,086516101,1299,32585,SH,,SOLE,0,9510,0,0
Bill Barrett Corp.,06846N104,2636,98435,SH,,SOLE,0,19970,0,0
Biogen Idec Inc.,09062X103,1390,4972,SH,,SOLE,0,1450,0,0
Boeing Co.,097023105,1939,14207,SH,,SOLE,0,4157,0,0
Borg Warner Automotive,099724106,3,60,SH,,SOLE,0,0,0,0
Bottomline Technologies Inc.,101388106,893,24705,SH,,SOLE,0,0,0,0
Boulder Brands Inc.,101405108,632,39875,SH,,SOLE,0,0,0,0
Bristol-Myers Squibb Co.,110122108,1345,25315,SH,,SOLE,0,7415,0,0
Buffalo Wild Wings,119848109,643,4365,SH,,SOLE,0,0,0,0
CSX Corp.,126408103,1275,44310,SH,,SOLE,0,12950,0,0
Calpine Corporation,131347304,3,140,SH,,SOLE,0,0,0,0
Carlisle Cos.,142339100,4,55,SH,,SOLE,0,0,0,0
Cavium Inc.,14964U108,507,14705,SH,,SOLE,0,0,0,0
Celgene Corp.,151020104,2003,11856,SH,,SOLE,0,3476,0,0
Centene Corporation,15135B101,604,10240,SH,,SOLE,0,0,0,0
Cepheid,15670R107,357,7645,SH,,SOLE,0,0,0,0
Cheesecake Factory Inc.,163072101,523,10842,SH,,SOLE,0,0,0,0
Children's Place,168905107,659,11575,SH,,SOLE,0,0,0,0
Chipotle,169656105,3,5,SH,,SOLE,0,0,0,0
Chuy's Holdings Inc,171604101,605,16805,SH,,SOLE,0,0,0,0
Citigroup,172967424,1617,31040,SH,,SOLE,0,9130,0,0
Clarcor Inc,179895107,523,8130,SH,,SOLE,0,0,0,0
