cusip,nameOfIssuer,Ticker
000307108,AAC  HLDGS  INC,
000360206,AAON  INC,AAON
000361105,AAR  CORP,AIR
000375204,ABB  LTD,ABB
00081T108,ACCO  BRANDS  CORP,ACCO
000868109,ACNB  CORP,ACNB
000957100,ABM  INDS  INC,ABM
001031103,AEP  INDS  INC,
001055102,AFLAC  INC,AFL
001084102,AGCO  CORP,AGCO
001228105,AG  MTG  INVT  TR  INC,MITT
00123Q104,AGNC  INVT  CORP,AGNC
001282102,A  H  BELO  CORP,
00130H105,AES  CORP,AES
001547108,AK  STL  HLDG  CORP,
001627108,ALJ  REGIONAL  HLDGS  INC,ALJJ
00162Q106,ALPS  ETF  TR,RDOG
00162Q205,ALPS  ETF  TR,EQL
00162Q510,ALPS  ETF  TR,RFFC
00162Q528,ALPS  ETF  TR,RFDA
00162Q536,ALPS  ETF  TR,RFCI
00162Q544,ALPS  ETF  TR,
00162Q593,ALPS  ETF  TR,SBIO
00162Q643,ALPS  ETF  TR,SGDM
00162Q718,ALPS  ETF  TR,IDOG
00162Q726,ALPS  ETF  TR,BFOR
00162Q734,ALPS  ETF  TR,
00162Q783,ALPS  ETF  TR,RIGS
00162Q858,ALPS  ETF  TR,SDOG
00162Q866,ALPS  ETF  TR,AMLP
00163U106,AMAG  PHARMACEUTICALS  INC,
00164V103,AMC  NETWORKS  INC,AMCX
00165C104,AMC  ENTMT  HLDGS  INC,AMC
00167X205,AMEC  FOSTER  WHEELER  PLC,
001744101,AMN  HEALTHCARE  SERVICES  INC,AMN
00182C103,ANI  PHARMACEUTICALS  INC,ANIP
00191G103,ARC  DOCUMENT  SOLUTIONS  INC,ARC
00206R102,AT&T  INC,T
00211V106,ATA  INC,AACG
002121101,A10  NETWORKS  INC,ATEN
00213H105,ARC  GROUP  WORLDWIDE  INC,ARCW
00214Q104,ARK  ETF  TR,ARKK
00214Q203,ARK  ETF  TR,ARKQ
00214Q302,ARK  ETF  TR,ARKG
00214Q401,ARK  ETF  TR,ARKW
00215F107,ATN  INTL  INC,ATNI
002255107,AU  OPTRONICS  CORP,AUOTY
00234P102,AV  HOMES  INC,
002444107,AVX  CORP  NEW,
002474104,AZZ  INC,AZZ
002535300,AARONS  INC,AAN
002567105,ABAXIS  INC,
002824100,ABBOTT  LABS,ABT
00287Y109,ABBVIE  INC,ABBV
002896207,ABERCROMBIE  &  FITCH  CO,ANF
003009107,ABERDEEN  ASIA  PACIFIC  INCOM,FAX
003011103,ABERDEEN  AUSTRALIA  EQTY  FD  I,IAF
003013109,ABERDEEN  GLOBAL  INCOME  FD  IN,FCO
00301L109,ABERDEEN  ISRAEL  FUND  INC,
00301T102,ABERDEEN  EMERGING  MKTS  SMALL,
00306J109,ABERDEEN  JAPAN  EQUITY  FD  INC,JEQ
00306K106,ABERDEEN  LATIN  AMER  EQTY  FD,
003244100,ABERDEEN  SINGAPORE  FD  INC,
003654100,ABIOMED  INC,ABMD
003830106,ABRAXAS  PETE  CORP,AXAS
003881307,ACACIA  RESH  CORP,ACTG
004006508,ACADEMY  FDS  TR,
00400R874,ABSOLUTE  SHS  TR,WBII
00400R882,ABSOLUTE  SHS  TR,
00401C108,ACACIA  COMMUNICATIONS  INC,
00404A109,ACADIA  HEALTHCARE  COMPANY  IN,ACHC
004225108,ACADIA  PHARMACEUTICALS  INC,ACAD
004239109,ACADIA  RLTY  TR,AKR
00430H102,ACCELERATE  DIAGNOSTICS  INC,AXDX
00430K402,ACASTI  PHARMA  INC,ACST.V
004337101,ACCESS  NATL  CORP,
00434H108,ACCELERON  PHARMA  INC,0A3.SG
004397105,ACCURAY  INC,ARAY
004446100,ACETO  CORP,
00444T100,ACELRX  PHARMACEUTICALS  INC,
00448Q201,ACHILLION  PHARMACEUTICALS  IN,
004498101,ACI  WORLDWIDE  INC,ACIW
00461U105,ACLARIS  THERAPEUTICS  INC,ACRS
00484M106,ACORDA  THERAPEUTICS  INC,ACOR
00507V109,ACTIVISION  BLIZZARD  INC,ATVI
00507W107,ACTINIUM  PHARMACEUTICALS  INC,ATNM
00508X203,ACTUANT  CORP,EPAC
00508Y102,ACUITY  BRANDS  INC,AYI
005094107,ACTUA  CORP,
005098108,ACUSHNET  HOLDINGS  CORP,GOLF
